complete_variant_count,expected_variant_count,model_key,status
6,6,af|314159|V2PMHC_51e2e413b5fb64d1|m1,complete
6,6,af|314159|V2PMHC_51e2e413b5fb64d1|m2,complete
6,6,af|314159|V2PMHC_51e2e413b5fb64d1|m3,complete
6,6,af|314159|V2PMHC_51e2e413b5fb64d1|m4,complete
6,6,af|314159|V2PMHC_645c4f4577622a82|m0,complete
6,6,af|314159|V2PMHC_645c4f4577622a82|m1,complete
6,6,af|314159|V2PMHC_645c4f4577622a82|m2,complete
6,6,af|314159|V2PMHC_645c4f4577622a82|m3,complete
6,6,af|314159|V2PMHC_645c4f4577622a82|m4,complete
6,6,af|314159|V2PMHC_676127377944674e|m0,complete
6,6,af|314159|V2PMHC_676127377944674e|m1,complete
6,6,af|314159|V2PMHC_676127377944674e|m2,complete
6,6,af|314159|V2PMHC_676127377944674e|m3,complete
6,6,af|314159|V2PMHC_676127377944674e|m4,complete
6,6,af|314159|V2PMHC_6994aa7cfa54a87a|m0,complete
6,6,af|314159|V2PMHC_6994aa7cfa54a87a|m1,complete
6,6,af|314159|V2PMHC_6994aa7cfa54a87a|m2,complete
6,6,af|314159|V2PMHC_6994aa7cfa54a87a|m3,complete
6,6,af|314159|V2PMHC_6994aa7cfa54a87a|m4,complete
6,6,af|314159|V2PMHC_72450eddcda12fef|m0,complete
6,6,af|314159|V2PMHC_72450eddcda12fef|m1,complete
6,6,af|314159|V2PMHC_72450eddcda12fef|m2,complete
6,6,af|314159|V2PMHC_72450eddcda12fef|m3,complete
6,6,af|314159|V2PMHC_72450eddcda12fef|m4,complete
6,6,af|314159|V2PMHC_78fe769be3f606f3|m0,complete
6,6,af|314159|V2PMHC_78fe769be3f606f3|m1,complete
6,6,af|314159|V2PMHC_78fe769be3f606f3|m2,complete
6,6,af|314159|V2PMHC_78fe769be3f606f3|m3,complete
6,6,af|314159|V2PMHC_78fe769be3f606f3|m4,complete
6,6,af|314159|V2PMHC_7db17c44e740d443|m0,complete
6,6,af|314159|V2PMHC_7db17c44e740d443|m1,complete
6,6,af|314159|V2PMHC_7db17c44e740d443|m2,complete
6,6,af|314159|V2PMHC_7db17c44e740d443|m3,complete
6,6,af|314159|V2PMHC_7db17c44e740d443|m4,complete
6,6,af|314159|V2PMHC_805576114a6e7df7|m0,complete
