layer,method,panel_seed,positive_pair_id,positive_rank,source
alphafold,physicochemical_only,314159,PAIR_HY1B11_UL15_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_identity,314159,PAIR_HY1B11_UL15_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_identity,314159,PAIR_HY1B11_UL15_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_blosum62,314159,PAIR_HY1B11_UL15_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_blosum62,314159,PAIR_HY1B11_UL15_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,structural_only,314159,PAIR_HY1B11_UL15_MBP,6,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,frozen_exposed_ca,314159,PAIR_HY1B11_UL15_MBP,6,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,random_ranking,314159,PAIR_HY1B11_UL15_MBP,17,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,surface_v2_peptide,271828,PAIR_HY1B11_PMM_MBP,16,this_package_primary_surface_analysis
alphafold,surface_v2_composite,271828,PAIR_HY1B11_PMM_MBP,16,this_package_primary_surface_analysis
alphafold,surface_v2_helix,271828,PAIR_HY1B11_PMM_MBP,13,this_package_primary_surface_analysis
alphafold,surface_v2_height,271828,PAIR_HY1B11_PMM_MBP,9,this_package_primary_surface_analysis
alphafold,surface_v2_normal,271828,PAIR_HY1B11_PMM_MBP,11,this_package_primary_surface_analysis
alphafold,surface_v2_shape,271828,PAIR_HY1B11_PMM_MBP,9,this_package_primary_surface_analysis
alphafold,surface_v2_peptide,314159,PAIR_HY1B11_PMM_MBP,13,this_package_primary_surface_analysis
alphafold,surface_v2_composite,314159,PAIR_HY1B11_PMM_MBP,16,this_package_primary_surface_analysis
alphafold,surface_v2_helix,314159,PAIR_HY1B11_PMM_MBP,13,this_package_primary_surface_analysis
alphafold,surface_v2_height,314159,PAIR_HY1B11_PMM_MBP,12,this_package_primary_surface_analysis
alphafold,surface_v2_normal,314159,PAIR_HY1B11_PMM_MBP,12,this_package_primary_surface_analysis
alphafold,surface_v2_shape,314159,PAIR_HY1B11_PMM_MBP,12,this_package_primary_surface_analysis
alphafold,surface_v2_peptide,271828,PAIR_HY1B11_UL15_MBP,12,this_package_primary_surface_analysis
alphafold,surface_v2_composite,271828,PAIR_HY1B11_UL15_MBP,10,this_package_primary_surface_analysis
alphafold,surface_v2_helix,271828,PAIR_HY1B11_UL15_MBP,11,this_package_primary_surface_analysis
alphafold,surface_v2_height,271828,PAIR_HY1B11_UL15_MBP,10,this_package_primary_surface_analysis
alphafold,surface_v2_normal,271828,PAIR_HY1B11_UL15_MBP,11,this_package_primary_surface_analysis
alphafold,surface_v2_shape,271828,PAIR_HY1B11_UL15_MBP,10,this_package_primary_surface_analysis
alphafold,surface_v2_peptide,314159,PAIR_HY1B11_UL15_MBP,3,this_package_primary_surface_analysis
alphafold,surface_v2_composite,314159,PAIR_HY1B11_UL15_MBP,2,this_package_primary_surface_analysis
alphafold,surface_v2_helix,314159,PAIR_HY1B11_UL15_MBP,2,this_package_primary_surface_analysis
alphafold,surface_v2_height,314159,PAIR_HY1B11_UL15_MBP,6,this_package_primary_surface_analysis
