composite_point_count,density,helix_point_count,layer,offset_A,pair_id,pairwise_map_coverage,panel_seed,peptide_point_count,positive_pair_id,status,variant
4124,coarse,,alphafold,0.0,s271828|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_175453,0.9971021492393142,271828,1086,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4071,coarse,,alphafold,0.0,s271828|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_186917,0.9953590620420127,271828,1276,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4070,coarse,,alphafold,0.0,s271828|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_2258538,0.9951207611612588,271828,1293,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3660,coarse,,alphafold,0.0,s271828|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_2273188,0.99483555313944,271828,1148,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3650,coarse,,alphafold,0.0,s271828|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_1618754,0.980712563621752,271828,1188,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4059,coarse,,alphafold,0.0,s271828|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_175453,0.9926632428466617,271828,1167,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4054,coarse,,alphafold,0.0,s271828|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_186917,0.991440449987772,271828,1250,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4048,coarse,,alphafold,0.0,s271828|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_2258538,0.9899730985571045,271828,1280,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3668,coarse,,alphafold,0.0,s271828|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_2273188,0.9946197114208853,271828,1262,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3720,coarse,,alphafold,0.0,s271828|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_1618754,0.9992778045257583,271828,1089,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4127,coarse,,alphafold,0.0,s271828|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_175453,0.998551774076756,271828,1033,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4081,coarse,,alphafold,0.0,s271828|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_186917,0.9982901807523205,271828,1206,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4082,coarse,,alphafold,0.0,s271828|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_2258538,0.9982880899975544,271828,1185,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
